# WRITE_FORCE NAME data/force INTERVAL 100 FAZONE WALL; SCALING 1
#           1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21
#        step         time         area       area-x       area-y       area-z     f-conv-x     f-conv-y     f-conv-z        f-p-x        f-p-y        f-p-z     f-visc-x     f-visc-y     f-visc-z     f-body-x     f-body-y     f-body-z    f-total-x    f-total-y    f-total-z
         9200      13.7565      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0726845     0.212082    0.0382375   0.00363618 -0.000398668  0.000756553            0            0            0    0.0763207     0.211683     0.038994
         9300      13.9126      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0760521     0.222393    0.0381193   0.00365479 -0.000405262  0.000758247            0            0            0    0.0797068     0.221988    0.0388775
         9400      14.0711      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0743303     0.217111      0.03761   0.00366517 -0.000412164  0.000770097            0            0            0    0.0779954     0.216699    0.0383801
         9500      14.2304      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0712656     0.209358    0.0373894   0.00368971 -0.000417717  0.000760222            0            0            0    0.0749553     0.208941    0.0381496
         9600      14.3901      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0720281     0.213331     0.037561   0.00370064 -0.000423839  0.000738655            0            0            0    0.0757288     0.212908    0.0382996
         9700      14.5458      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0712336     0.214198    0.0378239     0.003712 -0.000423033  0.000724416            0            0            0    0.0749456     0.213775    0.0385483
         9800       14.702      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0672371     0.205595    0.0378543   0.00374123 -0.000429544   0.00075023            0            0            0    0.0709783     0.205166    0.0386045
         9900      14.8567      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0663954     0.206178    0.0376383   0.00371871 -0.000424239  0.000784435            0            0            0    0.0701141     0.205754    0.0384227
        10000       15.013      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0688254     0.214505     0.037156   0.00367088 -0.000406619  0.000802763            0            0            0    0.0724963     0.214098    0.0379587
        10100      15.1689      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0666174     0.208058    0.0361618   0.00366214 -0.000407452  0.000821155            0            0            0    0.0702796      0.20765     0.036983
        10200      15.3244      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0653773     0.204577    0.0351707   0.00367156 -0.000421887  0.000859545            0            0            0    0.0690489     0.204155    0.0360302
