# WRITE_FORCE NAME data/force INTERVAL 100 FAZONE WALL; SCALING 1
#           1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21
#        step         time         area       area-x       area-y       area-z     f-conv-x     f-conv-y     f-conv-z        f-p-x        f-p-y        f-p-z     f-visc-x     f-visc-y     f-visc-z     f-body-x     f-body-y     f-body-z    f-total-x    f-total-y    f-total-z
        10800      14.3035      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0599021     0.263625    0.0352069   0.00471679 -0.000813103  0.000598707            0            0            0    0.0646189     0.262812    0.0358056
        10900      14.4344      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0     0.060298      0.26483     0.035344   0.00472593 -0.000819288  0.000595512            0            0            0     0.065024     0.264011    0.0359395
        11000      14.5658      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0606552     0.266444    0.0350353   0.00471585 -0.000813965  0.000588434            0            0            0    0.0653711      0.26563    0.0356237
        11100      14.6974      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0608252      0.26658    0.0353538   0.00470921 -0.000812444  0.000584117            0            0            0    0.0655344     0.265768    0.0359379
        11200      14.8295      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0598065     0.264003    0.0353855   0.00471155 -0.000809747  0.000580939            0            0            0    0.0645181     0.263193    0.0359665
        11300      14.9607      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0607542     0.267025    0.0354335   0.00471418  -0.00081288  0.000581069            0            0            0    0.0654684     0.266212    0.0360146
        11400      15.0947      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0     0.058996     0.260958    0.0354015   0.00471989 -0.000816756  0.000586546            0            0            0    0.0637159     0.260142    0.0359881
        11500      15.2278      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0     0.060187     0.264963    0.0353244   0.00471707 -0.000813845  0.000588974            0            0            0    0.0649041     0.264149    0.0359134
        11600      15.3601      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0588051     0.259907    0.0355037   0.00470808 -0.000815105  0.000589013            0            0            0    0.0635132     0.259092    0.0360928
        11700      15.4926      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0596165      0.26331     0.035448   0.00470137 -0.000804957  0.000585342            0            0            0    0.0643179     0.262505    0.0360333
        11800      15.6235      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0601007     0.264305    0.0353146   0.00470324 -0.000808052  0.000588117            0            0            0     0.064804     0.263497    0.0359027
        11900      15.7545      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0600738     0.264395     0.035274   0.00471353 -0.000809095  0.000590368            0            0            0    0.0647873     0.263586    0.0358644
        12000       15.886      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0601621     0.264186    0.0350099   0.00472302 -0.000816789  0.000591761            0            0            0    0.0648851     0.263369    0.0356017
